id,age,job,marital,education,balance,loan,contact,month,campaign,deposit
cus_130,55,management,married,unknown,1185,no,other,may,1,no
cus_131,32,admin.,single,secondary,217,no,other,may,1,no
cus_132,38,technician,single,secondary,1685,no,other,may,1,no
cus_133,55,admin.,single,secondary,802,yes,other,may,2,no
cus_134,28,unemployed,single,tertiary,0,no,other,may,2,no
cus_135,23,blue-collar,married,secondary,94,no,other,may,1,no
cus_136,32,technician,single,secondary,0,no,other,may,1,no
cus_137,43,services,single,unknown,0,no,other,may,1,no
cus_138,32,blue-collar,married,secondary,517,no,other,may,1,no
cus_139,46,blue-collar,married,secondary,265,no,other,may,1,no
cus_140,53,housemaid,divorced,primary,947,no,other,may,1,no
cus_141,34,self-employed,single,secondary,3,no,other,may,1,no
cus_142,57,unemployed,married,tertiary,42,no,other,may,1,no
cus_143,37,blue-collar,married,secondary,37,no,other,may,1,no
cus_144,59,blue-collar,married,secondary,57,no,other,may,1,no
cus_145,33,services,married,secondary,22,no,other,may,1,no
cus_146,56,blue-collar,divorced,primary,8,no,other,may,2,no
cus_147,48,unemployed,married,secondary,293,no,other,may,1,no
cus_148,43,services,married,primary,3,no,other,may,2,no
cus_149,54,blue-collar,married,primary,348,no,other,may,2,no
cus_150,51,blue-collar,married,unknown,-19,no,other,may,2,no
cus_151,26,student,single,secondary,0,no,other,may,2,no
cus_152,40,management,married,tertiary,-4,no,other,may,1,no
cus_153,39,management,married,secondary,18,no,other,may,1,no
cus_154,50,technician,married,primary,139,no,other,may,2,no
cus_155,41,services,married,secondary,0,no,other,may,2,no
cus_156,51,blue-collar,married,unknown,1883,no,other,may,1,no
cus_157,60,retired,divorced,secondary,216,no,other,may,1,no
cus_158,52,blue-collar,married,secondary,782,no,other,may,3,no
cus_159,48,blue-collar,married,secondary,904,no,other,may,2,no
cus_160,48,services,married,unknown,1705,no,other,may,1,no
cus_161,39,technician,single,tertiary,47,no,other,may,1,no
cus_162,47,services,single,secondary,176,no,other,may,2,no
cus_163,40,blue-collar,married,secondary,1225,no,other,may,5,no
cus_164,45,technician,married,secondary,86,no,other,may,1,no
cus_165,26,admin.,single,secondary,82,no,other,may,1,no
cus_166,52,management,married,tertiary,271,no,other,may,1,no
cus_167,54,technician,married,secondary,1378,no,other,may,1,no
cus_168,54,admin.,married,tertiary,184,no,other,may,2,yes
cus_169,50,blue-collar,married,primary,0,no,other,may,3,no
cus_170,35,blue-collar,married,secondary,0,no,other,may,1,no
cus_171,44,services,married,secondary,1357,yes,other,may,1,no
cus_172,53,entrepreneur,married,unknown,19,no,other,may,1,no
cus_173,35,retired,single,primary,434,no,other,may,1,no
cus_174,60,admin.,divorced,secondary,92,no,other,may,1,no
cus_175,53,admin.,divorced,secondary,1151,no,other,may,1,no
cus_176,48,unemployed,married,secondary,41,no,other,may,2,no
cus_177,34,technician,married,secondary,51,no,other,may,2,no
cus_178,54,services,married,secondary,214,no,other,may,2,no
cus_179,51,management,married,secondary,1161,no,other,may,1,no
cus_180,31,services,married,tertiary,37,no,other,may,1,no
cus_181,35,technician,divorced,secondary,787,no,other,may,2,no
cus_182,35,services,married,secondary,59,no,other,may,1,no
cus_183,38,technician,married,secondary,253,no,other,may,1,no
cus_184,36,admin.,married,tertiary,211,no,other,may,2,no
cus_185,58,retired,married,primary,235,no,other,may,1,no
cus_186,40,services,divorced,unknown,4384,no,other,may,1,no
cus_187,54,management,married,secondary,4080,no,other,may,1,no
cus_188,34,blue-collar,single,secondary,53,yes,other,may,1,no
cus_189,31,management,single,tertiary,0,no,other,may,1,no
cus_190,51,retired,married,secondary,2127,no,other,may,1,no
cus_191,33,management,married,tertiary,377,no,other,may,1,no
cus_192,55,management,married,tertiary,73,no,other,may,2,no
cus_193,42,admin.,married,secondary,445,no,other,may,1,no
cus_194,34,blue-collar,married,secondary,243,no,other,may,1,no
cus_195,33,blue-collar,single,secondary,307,no,other,may,2,no
cus_196,38,services,married,secondary,155,no,other,may,1,no
cus_197,50,technician,divorced,tertiary,173,yes,other,may,1,no
cus_198,43,management,married,tertiary,400,no,other,may,1,no
cus_199,61,blue-collar,divorced,primary,1428,no,other,may,2,no
cus_200,47,admin.,married,secondary,219,no,other,may,1,no
cus_201,48,self-employed,married,tertiary,7,no,other,may,1,no
cus_202,44,blue-collar,married,secondary,575,no,other,may,1,no
cus_203,35,student,single,unknown,298,no,other,may,2,no
cus_204,35,services,married,secondary,0,no,other,may,1,no
cus_205,50,services,married,secondary,5699,no,other,may,2,no
cus_206,41,management,married,tertiary,176,yes,other,may,1,no
cus_207,41,management,married,tertiary,517,no,other,may,1,no
cus_208,39,services,single,unknown,257,no,other,may,1,no
cus_209,42,retired,married,secondary,56,no,other,may,1,no
cus_210,38,blue-collar,married,secondary,-390,no,other,may,1,no
cus_211,53,retired,married,secondary,330,no,other,may,2,no
cus_212,59,housemaid,divorced,primary,195,no,other,may,2,no
cus_213,36,services,married,secondary,301,no,other,may,1,no
cus_214,54,blue-collar,married,primary,-41,no,other,may,1,no
cus_215,40,technician,married,tertiary,483,no,other,may,1,no
cus_216,47,unknown,married,unknown,28,no,other,may,2,no
cus_217,53,unemployed,married,unknown,13,no,other,may,3,no
cus_218,46,housemaid,married,primary,965,no,other,may,1,no
cus_219,39,management,married,tertiary,378,yes,other,may,2,no
cus_220,40,unemployed,married,secondary,219,no,other,may,1,no
cus_221,28,blue-collar,married,primary,324,no,other,may,1,no
cus_222,35,entrepreneur,divorced,secondary,-69,no,other,may,1,no
cus_223,55,retired,married,secondary,0,yes,other,may,1,no
cus_224,43,technician,divorced,unknown,205,no,other,may,1,no
cus_225,48,blue-collar,married,primary,278,no,other,may,2,no
cus_226,58,management,married,unknown,1065,no,other,may,3,no
cus_227,33,management,single,tertiary,34,no,other,may,1,no
cus_228,36,blue-collar,married,unknown,1033,no,other,may,2,no
cus_229,53,services,divorced,secondary,1467,no,other,may,1,no
cus_230,47,blue-collar,married,primary,-12,no,other,may,1,no
cus_231,31,services,married,secondary,388,no,other,may,2,no
cus_232,57,entrepreneur,married,secondary,294,no,other,may,2,no
cus_233,53,blue-collar,married,unknown,1827,no,other,may,1,no
cus_234,55,blue-collar,married,primary,627,no,other,may,1,no
cus_235,45,blue-collar,married,primary,25,no,other,may,1,no
cus_236,53,admin.,divorced,secondary,315,no,other,may,2,no
cus_237,37,blue-collar,married,primary,0,no,other,may,1,no
cus_238,44,admin.,divorced,secondary,66,no,other,may,1,no
cus_239,49,blue-collar,divorced,primary,-9,yes,other,may,1,no
cus_240,46,technician,married,secondary,349,yes,other,may,1,no
cus_241,43,entrepreneur,married,unknown,100,no,other,may,1,no
cus_242,38,admin.,married,secondary,0,no,other,may,1,no
cus_243,43,technician,married,secondary,434,no,other,may,1,no
cus_244,49,management,married,tertiary,3237,no,other,may,3,no
cus_245,42,management,married,unknown,275,no,other,may,2,no
cus_246,22,blue-collar,single,secondary,0,no,other,may,2,no
cus_247,40,management,married,tertiary,207,no,other,may,1,no
cus_248,39,blue-collar,married,secondary,483,no,other,may,1,no
cus_249,51,services,married,secondary,2248,no,other,may,2,no
cus_250,49,admin.,married,secondary,428,no,other,may,1,no
cus_251,53,blue-collar,married,secondary,0,yes,other,may,1,no
cus_252,34,services,single,secondary,0,no,other,may,1,no
cus_253,33,technician,divorced,secondary,140,no,other,may,1,no
cus_254,50,management,single,tertiary,297,no,other,may,1,no
cus_255,39,blue-collar,married,primary,279,no,other,may,1,no
cus_256,59,entrepreneur,divorced,secondary,901,no,other,may,3,no
cus_257,30,technician,single,secondary,2573,no,other,may,2,no
cus_258,36,services,married,secondary,143,yes,other,may,1,no
cus_259,40,blue-collar,married,secondary,475,no,other,may,2,no
cus_260,53,blue-collar,married,secondary,70,no,other,may,2,no
cus_261,34,management,single,tertiary,318,no,other,may,2,no
cus_262,37,technician,married,secondary,275,no,other,may,1,no
cus_263,42,management,divorced,tertiary,742,no,other,may,3,no
cus_264,41,entrepreneur,married,primary,236,no,other,may,1,no
cus_265,30,student,single,tertiary,25,no,other,may,2,no
cus_266,37,management,single,tertiary,600,no,other,may,1,no
cus_267,39,admin.,divorced,secondary,-349,no,other,may,2,no
cus_268,41,blue-collar,married,primary,183,yes,other,may,2,no
cus_269,40,blue-collar,married,primary,0,no,other,may,1,no
cus_270,42,management,single,tertiary,0,yes,other,may,2,yes
cus_271,40,blue-collar,divorced,primary,0,no,other,may,1,no
cus_272,57,technician,married,secondary,1078,no,other,may,4,no
cus_273,56,entrepreneur,divorced,secondary,155,no,other,may,3,no
cus_274,37,admin.,married,secondary,190,no,other,may,2,no
cus_275,59,retired,married,secondary,319,no,other,may,3,no
cus_276,39,services,divorced,secondary,-185,no,other,may,3,no
cus_277,49,services,married,secondary,47,no,other,may,2,no
cus_278,38,services,single,secondary,570,no,other,may,2,no
cus_279,36,self-employed,married,tertiary,19,no,other,may,2,no
cus_280,50,blue-collar,married,primary,61,no,other,may,3,no
cus_281,41,admin.,married,secondary,-62,yes,other,may,2,no
cus_282,54,technician,married,tertiary,258,no,other,may,4,no
cus_283,58,blue-collar,married,primary,76,no,other,may,2,no
cus_284,30,blue-collar,single,secondary,0,no,other,may,2,no
cus_285,33,admin.,single,secondary,352,no,other,may,2,no
cus_286,47,admin.,married,secondary,368,no,other,may,2,no
cus_287,50,technician,single,tertiary,339,no,other,may,3,no
cus_288,32,blue-collar,married,secondary,1331,no,other,may,2,no
cus_289,40,self-employed,married,secondary,672,no,other,may,2,no
cus_290,37,management,married,tertiary,58,no,other,may,2,no
cus_291,54,technician,single,unknown,447,no,other,may,2,no
cus_292,24,student,single,secondary,423,no,other,may,3,no
cus_293,54,management,married,tertiary,0,no,other,may,2,no
cus_294,34,technician,married,secondary,19,no,other,may,4,no
cus_295,56,technician,divorced,primary,13,no,other,may,2,no
cus_296,31,blue-collar,single,secondary,3,no,other,may,2,no
cus_297,24,student,single,secondary,82,no,other,may,2,no
cus_298,42,blue-collar,divorced,primary,28,no,other,may,3,no
cus_299,57,technician,married,secondary,792,no,other,may,2,no
cus_300,42,blue-collar,married,unknown,408,no,other,may,2,no
cus_301,51,admin.,married,secondary,531,no,other,may,2,no
cus_302,57,retired,married,secondary,211,no,other,may,2,no
cus_303,36,services,single,secondary,62,no,other,may,2,no
cus_304,53,services,married,unknown,257,no,other,may,2,no
cus_305,50,technician,married,secondary,1234,no,other,may,2,no
cus_306,54,management,married,tertiary,313,no,other,may,2,no
cus_307,55,blue-collar,married,secondary,89,no,other,may,3,no
cus_308,44,blue-collar,married,secondary,129,yes,other,may,2,no
cus_309,43,management,married,unknown,0,no,other,may,2,no
cus_310,56,admin.,married,secondary,353,no,other,may,2,no
cus_311,54,technician,married,unknown,851,no,other,may,2,no
cus_312,55,services,divorced,primary,96,yes,other,may,2,no
cus_313,37,services,divorced,secondary,398,yes,other,may,2,no
cus_314,33,admin.,single,tertiary,193,no,other,may,2,no
cus_315,46,admin.,married,secondary,-358,no,other,may,2,no
cus_316,36,blue-collar,married,secondary,539,yes,other,may,2,no
cus_317,51,technician,single,secondary,0,no,other,may,2,no
cus_318,40,retired,single,primary,0,no,other,may,2,no
cus_319,42,blue-collar,married,secondary,490,no,other,may,2,no
cus_320,51,blue-collar,married,secondary,0,no,other,may,2,no
cus_321,49,blue-collar,married,unknown,403,no,other,may,2,no
cus_322,48,management,married,secondary,161,no,other,may,3,no
cus_323,32,technician,divorced,tertiary,2558,no,other,may,2,no
cus_324,31,admin.,single,secondary,98,no,other,may,2,no
cus_325,55,management,single,tertiary,115,no,other,may,4,no
cus_326,40,blue-collar,single,secondary,436,no,other,may,3,no
cus_327,47,technician,married,tertiary,831,no,other,may,3,no
cus_328,57,technician,married,unknown,206,no,other,may,3,no
cus_329,41,blue-collar,married,secondary,290,no,other,may,2,no
cus_330,48,blue-collar,married,secondary,1,no,other,may,3,no
cus_331,42,blue-collar,married,unknown,57,no,other,may,2,no
cus_332,30,blue-collar,single,secondary,-457,no,other,may,2,no
cus_333,58,management,single,tertiary,1387,no,other,may,5,no
cus_334,45,management,divorced,tertiary,24598,no,other,may,3,no
cus_335,49,blue-collar,married,secondary,30,no,other,may,4,no
cus_336,42,admin.,single,secondary,1022,no,other,may,2,no
cus_337,53,technician,married,secondary,56,yes,other,may,2,no
cus_338,51,admin.,single,secondary,-2,no,other,may,3,no
cus_339,32,services,single,secondary,121,no,other,may,2,no
cus_340,41,blue-collar,single,secondary,842,no,other,may,3,no
cus_341,43,management,divorced,secondary,693,no,other,may,3,no
cus_342,40,blue-collar,divorced,secondary,-333,no,other,may,2,no
cus_343,50,blue-collar,married,primary,1533,no,other,may,2,no
cus_344,34,management,married,tertiary,46,no,other,may,4,no
cus_345,53,services,married,unknown,18,no,other,may,2,no
cus_346,45,technician,married,secondary,44,no,other,may,4,no
cus_347,39,blue-collar,married,primary,-100,no,other,may,2,no
cus_348,44,services,married,tertiary,510,no,other,may,4,no
cus_349,55,management,married,tertiary,685,no,other,may,3,no
cus_350,46,management,single,tertiary,187,no,other,may,2,no
cus_351,45,blue-collar,married,secondary,66,no,other,may,2,no
cus_352,34,admin.,married,secondary,560,no,other,may,3,no
cus_353,36,blue-collar,married,secondary,0,no,other,may,2,no
cus_354,59,unknown,divorced,unknown,27,no,other,may,3,no
cus_355,31,admin.,single,secondary,12,no,other,may,2,no
cus_356,44,blue-collar,single,secondary,34,no,other,may,4,no
cus_357,33,entrepreneur,single,tertiary,1068,no,other,may,2,no
cus_358,40,blue-collar,married,secondary,211,no,other,may,4,no
cus_359,46,admin.,single,tertiary,377,no,other,may,2,no
cus_360,48,management,married,tertiary,263,no,other,may,2,no
cus_361,42,services,married,secondary,1263,no,other,may,2,no
cus_362,27,services,married,secondary,8,no,other,may,3,no
cus_363,48,admin.,married,secondary,126,yes,other,may,2,no
cus_364,59,admin.,married,secondary,230,no,other,may,3,no
cus_365,46,technician,married,tertiary,841,no,other,may,1,no
cus_366,38,admin.,divorced,secondary,308,no,other,may,1,no
cus_367,43,management,divorced,tertiary,1,no,other,may,1,no
cus_368,38,admin.,divorced,tertiary,86,no,other,may,1,no
cus_369,23,student,single,secondary,157,no,other,may,1,no
cus_370,34,services,married,secondary,22,no,other,may,1,no
cus_371,38,admin.,married,secondary,46,yes,other,may,1,no
cus_372,37,blue-collar,married,secondary,1293,no,other,may,1,no
cus_373,25,admin.,single,secondary,122,no,other,may,1,no
cus_374,48,blue-collar,married,unknown,131,no,other,may,1,no
cus_375,49,blue-collar,single,secondary,143,no,other,may,1,no
cus_376,38,admin.,single,secondary,393,no,other,may,2,no
cus_377,43,blue-collar,married,primary,98,no,other,may,1,no
cus_378,33,management,married,tertiary,0,no,other,may,1,no
cus_379,55,blue-collar,married,secondary,224,no,other,may,1,no
cus_380,38,blue-collar,married,secondary,757,no,other,may,1,no
cus_381,49,services,married,secondary,245,yes,other,may,1,no
cus_382,40,management,married,secondary,8486,no,other,may,3,no
cus_383,43,admin.,married,unknown,350,no,other,may,1,no
cus_384,38,blue-collar,married,secondary,20,no,other,may,1,no
cus_385,58,services,married,secondary,1667,yes,other,may,1,no
cus_386,57,technician,married,unknown,345,no,other,may,1,no
cus_387,32,unemployed,married,secondary,10,no,other,may,4,no
cus_388,56,management,married,tertiary,830,yes,other,may,1,yes
cus_389,58,blue-collar,divorced,unknown,29,no,other,may,1,no
cus_390,60,retired,divorced,secondary,545,no,other,may,1,yes
cus_391,37,technician,married,tertiary,8730,no,other,may,1,no
cus_392,46,technician,divorced,tertiary,477,no,other,may,1,no
cus_393,27,admin.,married,secondary,4,no,other,may,1,no
cus_394,43,blue-collar,married,secondary,1205,no,other,may,2,no
cus_395,32,technician,single,secondary,0,yes,other,may,3,no
cus_396,40,admin.,single,secondary,263,no,other,may,1,no
cus_397,38,admin.,married,secondary,1,no,other,may,1,no
cus_398,34,blue-collar,married,secondary,283,yes,other,may,1,no
cus_399,47,blue-collar,married,primary,206,no,other,may,1,no
cus_400,42,housemaid,married,primary,17,no,other,may,1,no
cus_401,48,technician,married,secondary,141,yes,other,may,1,no
cus_402,29,self-employed,single,tertiary,16,no,other,may,1,no
cus_403,50,services,married,secondary,206,no,other,may,1,no
cus_404,52,technician,married,unknown,7,no,other,may,2,no
cus_405,50,management,married,tertiary,0,no,other,may,1,no
cus_406,58,retired,married,tertiary,0,no,other,may,1,no
cus_407,46,blue-collar,divorced,primary,1927,no,other,may,3,no
cus_408,38,technician,married,secondary,284,no,other,may,1,no
cus_409,46,blue-collar,married,secondary,1660,no,other,may,1,no
cus_410,32,services,single,secondary,406,no,other,may,1,no
cus_411,51,blue-collar,married,primary,230,no,other,may,1,no
cus_412,39,admin.,single,secondary,-25,no,other,may,1,no
cus_413,48,admin.,married,secondary,182,no,other,may,2,no
cus_414,36,entrepreneur,married,tertiary,1169,no,other,may,2,no
cus_415,34,admin.,divorced,secondary,67,no,other,may,1,no
cus_416,40,technician,married,secondary,77,no,other,may,1,no
cus_417,43,unemployed,married,secondary,0,no,other,may,1,no
cus_418,52,blue-collar,divorced,primary,55,yes,other,may,1,no
cus_419,33,technician,married,secondary,72,no,other,may,1,no
cus_420,49,management,single,tertiary,163,no,other,may,3,no
cus_421,32,management,single,tertiary,151,no,other,may,1,no
cus_422,39,admin.,single,secondary,113,no,other,may,1,no
cus_423,40,blue-collar,married,secondary,0,no,other,may,1,no
cus_424,38,technician,single,tertiary,9,no,other,may,3,no
cus_425,43,management,married,secondary,375,no,other,may,2,no
cus_426,39,services,married,secondary,1142,no,other,may,1,no
cus_427,54,blue-collar,married,primary,2102,no,other,may,1,no
cus_428,38,technician,single,tertiary,4325,no,other,may,1,no
cus_429,40,blue-collar,married,secondary,217,no,other,may,1,no
cus_430,55,admin.,married,secondary,131,no,other,may,1,no
cus_431,42,management,married,tertiary,1680,no,other,may,1,no
cus_432,39,blue-collar,married,secondary,0,no,other,may,1,no
cus_433,40,blue-collar,married,primary,46,no,other,may,1,no
cus_434,32,blue-collar,married,secondary,320,no,other,may,2,no
cus_435,55,admin.,married,secondary,183,no,other,may,1,no
cus_436,45,blue-collar,married,secondary,39,no,other,may,1,no
cus_437,35,management,single,tertiary,560,no,other,may,1,no
cus_438,58,technician,divorced,secondary,469,no,other,may,1,no
cus_439,35,admin.,married,secondary,530,no,other,may,1,no
cus_440,49,services,married,primary,61,no,other,may,1,no
cus_441,34,technician,single,tertiary,242,no,other,may,1,no
cus_442,36,blue-collar,married,secondary,139,no,other,may,2,no
cus_443,24,self-employed,single,secondary,0,no,other,may,1,no
cus_444,34,technician,married,secondary,367,no,other,may,1,no
cus_445,51,admin.,divorced,secondary,228,no,other,may,1,no
cus_446,39,technician,single,unknown,45248,no,other,may,1,yes
cus_447,50,self-employed,married,unknown,-84,no,other,may,1,no
cus_448,32,services,single,secondary,310,no,other,may,1,no
cus_449,42,blue-collar,married,unknown,132,no,other,may,1,no
cus_450,50,technician,married,secondary,797,no,other,may,1,no
cus_451,40,services,married,secondary,71,no,other,may,1,no
cus_452,46,management,divorced,unknown,2,no,other,may,1,no
cus_453,37,management,married,tertiary,231,yes,other,may,2,no
cus_454,34,blue-collar,married,secondary,270,yes,other,may,1,no
cus_455,44,blue-collar,married,secondary,274,yes,other,may,1,no
cus_456,40,admin.,single,secondary,-109,yes,other,may,1,no
cus_457,37,technician,married,secondary,1,no,other,may,1,yes
cus_458,33,blue-collar,single,secondary,-60,no,other,may,1,no
cus_459,35,blue-collar,married,secondary,89,no,other,may,2,no
cus_460,58,blue-collar,divorced,secondary,-11,no,other,may,1,no
cus_461,39,blue-collar,married,primary,0,no,other,may,2,no
cus_462,43,blue-collar,married,secondary,-509,no,other,may,1,no
cus_463,39,unemployed,married,primary,408,no,other,may,1,no
cus_464,36,services,single,primary,58,no,other,may,1,no
cus_465,57,retired,single,secondary,1640,yes,other,may,4,no
cus_466,36,admin.,single,secondary,20,no,other,may,1,no
cus_467,50,blue-collar,married,primary,71,no,other,may,1,no
cus_468,55,blue-collar,married,secondary,52,no,other,may,1,no
cus_469,44,self-employed,married,tertiary,292,no,other,may,1,no
cus_470,44,services,divorced,secondary,424,no,other,may,1,no
